Mfg,Model,Year,MfgDimNames,Category,SeatTube,TopTube_hz,HeadTubeAngle,SeatTubeAngle,Wheelbase,Chainstay,BBdrop,StandOverHeight,Reach,Stack,ForkRake
stevens,supreme,2023,56,gravel,607,568,70.5,74.0,1057,430,65.0,813,400,582,45
stevens,supreme,2023,58,gravel,621,582,71.0,73.5,1061,430,65.0,829,406,595,45
stevens,supreme,2023,60,gravel,632,597,71.0,73.0,1071,430,65.0,843,412,605,45
stevens,supreme,2023,62,gravel,637,606,71.0,73.0,1080,430,65.0,857,420,609,45
stevens,super-prestige,2022,50,cyclocross,536,509,70.5,75.5,1005,425,62.0,764,375,519,45
stevens,super-prestige,2022,52,cyclocross,551,530,71.0,74.5,1012,425,62.0,775,383,531,45
stevens,super-prestige,2022,54,cyclocross,582,539,71.5,74.0,1012,425,65.0,800,379,559,45
stevens,super-prestige,2022,56,cyclocross,596,553,72.0,73.0,1011,425,65.0,814,379,570,45
stevens,super-prestige,2022,58,cyclocross,616,572,72.0,73.0,1027,425,70.0,826,392,589,45
stevens,super-prestige,2022,60,cyclocross,641,586,72.0,73.0,1041,425,70.0,849,398,613,45
stevens,prestige,2022,48,gravel,562,516,70.0,76.0,1035,440,70.0,749,380,546,45
stevens,prestige,2022,51,gravel,586,551,71.0,74.0,1041,440,70.0,773,389,564,45
stevens,prestige,2022,54,gravel,611,576,71.5,73.0,1051,440,70.0,798,398,583,45
stevens,prestige,2022,56,gravel,631,591,71.5,73.0,1067,440,70.0,822,407,603,45
stevens,prestige,2022,58,gravel,653,606,72.0,73.0,1077,440,70.0,847,416,624,45
stevens,prestige,2022,61,gravel,673,621,72.0,73.0,1092,440,70.0,871,424,643,45
stevens,comet-disc,2021,50,race,535,518,71.5,75.0,978,410,70.0,726,379,517,43
stevens,comet-disc,2021,52,race,544,530,72.0,74.0,976,410,70.0,735,380,523,43
stevens,comet-disc,2021,54,race,566,538,72.5,74.0,981,410,70.0,759,382,544,43
stevens,comet-disc,2021,56,race,591,555,73.5,73.5,983,410,70.0,782,387,567,43
stevens,comet-disc,2021,58,race,611,570,73.5,73.5,993,410,70.0,795,397,585,43
stevens,comet-disc,2021,60,race,636,585,73.5,73.5,1013,410,70.0,834,404,610,43
stevens,prestige,2021,48,gravel,562,516,70.0,76.0,1035,440,70.0,749,380,546,45
stevens,prestige,2021,51,gravel,586,551,71.0,74.0,1041,440,70.0,773,389,564,45
stevens,prestige,2021,54,gravel,611,576,71.5,73.0,1051,440,70.0,798,398,583,45
stevens,prestige,2021,56,gravel,631,591,71.5,73.0,1067,440,70.0,822,407,603,45
stevens,prestige,2021,58,gravel,653,606,72.0,73.0,1077,440,70.0,847,416,624,45
stevens,prestige,2021,61,gravel,673,621,72.0,73.0,1092,440,70.0,871,424,643,45
stevens,comet-disc,2020,50,race,535,518,71.5,75.0,978,410,70.0,726,379,517,43
stevens,comet-disc,2020,52,race,544,530,72.0,74.0,976,410,70.0,735,380,523,43
stevens,comet-disc,2020,54,race,566,538,72.5,74.0,981,410,70.0,759,382,544,43
stevens,comet-disc,2020,56,race,591,555,73.5,73.5,983,410,70.0,782,387,567,43
stevens,comet-disc,2020,58,race,611,570,73.5,73.5,993,410,70.0,795,397,585,43
stevens,comet-disc,2020,60,race,636,585,73.5,73.5,1013,410,70.0,834,404,610,43
stevens,xenon-disc,2020,50,race,535,518,71.5,75.0,978,405,70.0,726,379,517,43
stevens,xenon-disc,2020,52,race,544,530,72.0,74.0,976,405,70.0,735,380,523,43
stevens,xenon-disc,2020,54,race,566,538,72.5,74.0,981,405,70.0,759,382,544,43
stevens,xenon-disc,2020,56,race,591,555,73.5,73.5,983,405,70.0,782,387,567,43
stevens,xenon-disc,2020,58,race,611,570,73.5,73.5,993,405,70.0,795,397,585,43
stevens,xenon-disc,2020,60,race,636,585,73.5,73.5,1013,405,70.0,834,404,610,43
stevens,xenon,2020,50,race,535,518,71.5,75.0,978,405,70.0,726,379,517,43
stevens,xenon,2020,52,race,544,530,72.0,74.0,976,405,70.0,735,380,523,43
stevens,xenon,2020,54,race,566,538,72.5,74.0,981,405,70.0,759,382,544,43
stevens,xenon,2020,56,race,591,555,73.5,73.5,983,405,70.0,782,387,567,43
stevens,xenon,2020,58,race,611,570,73.5,73.5,993,405,70.0,795,397,585,43
stevens,xenon,2020,60,race,636,585,73.5,73.5,1013,405,70.0,834,404,610,43
stevens,ventoux-disc,2020,50,race,518,518,71.5,74.5,969,405,70.0,724,378,507,45
stevens,ventoux-disc,2020,52,race,536,532,72.5,74.5,976,405,70.0,740,387,524,45
stevens,ventoux-disc,2020,54,race,559,542,73.0,74.0,977,405,70.0,761,386,545,45
stevens,ventoux-disc,2020,56,race,583,555,73.5,73.5,980,405,70.0,781,387,566,45
stevens,ventoux-disc,2020,58,race,600,570,73.5,73.5,995,405,70.0,796,396,585,45
stevens,ventoux-disc,2020,60,race,628,585,73.5,73.5,1010,405,70.0,822,405,609,45
stevens,ventoux-disc,2020,62,race,651,592,73.5,73.5,1017,405,70.0,844,404,633,45
stevens,ventoux,2020,50,race,518,518,71.5,74.5,969,405,70.0,724,378,507,45
stevens,ventoux,2020,52,race,536,532,72.5,74.5,976,405,70.0,740,387,524,45
stevens,ventoux,2020,54,race,559,542,73.0,74.0,977,405,70.0,761,386,545,45
stevens,ventoux,2020,56,race,583,555,73.5,73.5,980,405,70.0,781,387,566,45
stevens,ventoux,2020,58,race,600,570,73.5,73.5,995,405,70.0,796,396,585,45
stevens,ventoux,2020,60,race,628,585,73.5,73.5,1010,405,70.0,822,405,609,45
stevens,ventoux,2020,62,race,651,592,73.5,73.5,1017,405,70.0,844,404,633,45
stevens,super-prestige,2020,50,cyclocross,536,510,70.5,75.5,1005,425,62.0,760,375,519,45
